date,peggedUSD,peggedEUR,peggedVAR,peggedJPY,peggedCNY,peggedUAH,peggedARS,peggedGBP,peggedCAD,peggedCHF,peggedAUD,peggedREAL
2021-01-01,28286859559,3871222,,,,,,,,,,
2021-01-02,28825490421,4272046,,,,,,,,,,
2021-01-03,28995680791,5510939,,,,,,,,,,
2021-01-04,29328599685,5971796,,,,,,,,,,
2021-01-05,29771217419,7836686,,,,,,,,,,
2021-01-06,30127739312,8741463,,,,,,,,,,
2021-01-07,30572288380,9227459,,,,,,,,,,
2021-01-08,31287207603,10234225,,,,,,,,,,
2021-01-09,32091461906,11479322,,,,,,,,,,
2021-01-10,32635526891,12893978,,,,,,,,,,
2021-01-11,33213985553,13484953,,,,,,,,,,
2021-01-12,33242308163,12308875,,,,,,,,,,
2021-01-13,33094183820,14522591,,,,,,,,,,
2021-01-14,33057940569,15191351,,,,,,,,,,
2021-01-15,33143562570,14399881,,,,,,,,,,
2021-01-16,33209216892,16097614,,,,,,,,,,
2021-01-17,33508490208,17269795,,,,,,,,,,
2021-01-18,33637683527,20946217,,,,,,,,,,
2021-01-19,33772844566,25127913,,,,,,,,,,
2021-01-20,33765627274,26026432,,,,,,,,,,
2021-01-21,34385240012,26613069,,,,,,,,,,
2021-01-22,34659355275,27881975,,,,,,,,,,
2021-01-23,34728477882,28381619,,,,,,,,,,
2021-01-24,34795084938,30116650,,,,,,,,,,
2021-01-25,34995504795,32703786,,,,,,,,,,
2021-01-26,35116458419,37134737,,,,,,,,,,
2021-01-27,35209896604,37180968,,,,,,,,,,
2021-01-28,35631608360,34287419,,,,,,,,,,
2021-01-29,35983826178,34167643,,,,,,,,,,
2021-01-30,36114786223,33818869,,,,,,,,,,
2021-01-31,37189036128,33462610,,,,,,,,,,
2021-02-01,37453306779,32346749,,,,,,,,,,
2021-02-02,37455174618,30728754,,,,,,,,,,
2021-02-03,37775525374,33454972,,,,,,,,,,
2021-02-04,38253447749,35533869,,,,,,,,,,
2021-02-05,38838426182,34376956,,,,,,,,,,
2021-02-06,39480212754,33309673,,,,,,,,,,
2021-02-07,40163964280,33309745,,,,,,,,,,
2021-02-08,40455387483,34992364,,,,,,,,,,
2021-02-09,40941231921,34505662,,,,,,,,,,
2021-02-10,42236183550,34714906,,,,,,,,,,
2021-02-11,42969443515,34197081,,,,,,,,,,
2021-02-12,43704364849,34603051,,,,,,,,,,
2021-02-13,44196689759,34642369,,,,,,,,,,
2021-02-14,45007485132,34772409,1988,,,,,,,,,
2021-02-15,45669094215,35081438,2788,,,,,,,,,
2021-02-16,45760134565,34679162,7055,,,,,,,,,
2021-02-17,46045085491,35185733,285943,,,,,,,,,
2021-02-18,46060886037,36050407,6445214,,,,,,,,,
2021-02-19,47067029688,36231049,10675973,,,,,,,,,
2021-02-20,48196041875,36067723,13337513,,,,,,,,,
2021-02-21,49283001545,36067803,21418500,,,,,,,,,
2021-02-22,49544198003,34491125,26345980,,,,,,,,,
2021-02-23,50099331496,30982302,21926822,,,,,,,,,
2021-02-24,50258137160,29462367,26697904,,,,,,,,,
2021-02-25,50871818744,30615042,32540635,,,,,,,,,
2021-02-26,50846799711,30363180,35518810,,,,,,,,,
2021-02-27,51723172682,30216502,35171679,,,,,,,,,
2021-02-28,51561450529,30216608,35655311,,,,,,,,,
2021-03-01,51880451162,29801367,34731857,,,,,,,,,
2021-03-02,52444271964,28462889,32899795,,,,,,,,,
2021-03-03,53134802171,29846697,33378926,,,,,,,,,
2021-03-04,53176205105,29832797,35363406,,,,,,,,,
2021-03-05,53991293011,28305640,33210680,,,,,,,,,
2021-03-06,54226852464,28316584,34189343,,,,,,,,,
2021-03-07,54478787804,28351584,32608436,,,,,,,,,
2021-03-08,54560291244,27306549,33914495,,,,,,,,,
2021-03-09,54353292838,28731354,38243186,,,,,,,,,
2021-03-10,55022191572,27461329,43299118,,,,,,,,,
2021-03-11,55534535022,27487558,43522329,,,,,,,,,
2021-03-12,55951299162,27068920,44885907,,,,,,,,,
2021-03-13,56776118766,26927347,46211193,,,,,,,,,
